Acadia,11/30/15,34.915,0.0048,2.6,0.75,2
Acadia,12/1/15,44.955,0.4344,3.88,0.96,1
Acadia,12/2/15,41.305,0.2784,7.13,0.93,1
Acadia,12/3/15,32.96,0.0048,12.94,0.74,1
Acadia,12/4/15,34.79,0,4.77,0.77,1
Acadia,12/5/15,37.24,0,5.86,0.81,1
Acadia,12/6/15,35.545,0.0168,6.91,0.78,1
Acadia,12/7/15,33.455,0.0432,1.94,0.78,1
Arches,11/30/15,26.535,0,1.41,0.58,2
Arches,12/1/15,30.315,0,1.38,0.58,1
Arches,12/2/15,35.37,0,1.57,0.61,1
Arches,12/3/15,40.19,0,1.68,0.6,1
Arches,12/4/15,37.115,0,1.66,0.56,1
Arches,12/5/15,38.945,0,2.71,0.51,1
Arches,12/6/15,42.145,0,1.65,0.46,2
Arches,12/7/15,41.88,0,1.07,0.49,2
Badlands,11/30/15,25.955,0.1632,13.27,0.87,1
Badlands,12/1/15,27.96,0,6.75,0.84,1
Badlands,12/2/15,30.425,0,7.08,0.87,1
Badlands,12/3/15,33.745,0,12.04,0.84,1
Badlands,12/4/15,28.255,0,6.1,0.79,1
Badlands,12/5/15,29.115,0,15.36,0.68,1
Badlands,12/6/15,33.24,0,8.46,0.68,1
Badlands,12/7/15,36.1,0,10.4,0.7,1
Big Bend,11/30/15,55.985,0,2.65,0.62,2
Big Bend,12/1/15,51.53,0,5.55,0.46,3
Big Bend,12/2/15,48.865,0,2.14,0.44,3
Big Bend,12/3/15,50.68,0,2.19,0.59,2
Big Bend,12/4/15,51.44,0,2.06,0.57,2
Big Bend,12/5/15,47.715,0.0048,5.76,0.67,2
Big Bend,12/6/15,46.92,0,0.33,0.55,2
Big Bend,12/7/15,50.725,0,1.13,0.52,2
Biscayne,11/30/15,78.045,0.0888,8.49,0.85,1
Biscayne,12/1/15,77.49,0.0792,8.62,0.88,1
Biscayne,12/2/15,76.805,0.204,3.31,0.88,1
Biscayne,12/3/15,75.79,0.9696,8.24,0.88,1
Biscayne,12/4/15,75.705,0.1152,17.2,0.82,1
Biscayne,12/5/15,75.775,0.7872,24.09,0.82,1
Biscayne,12/6/15,75.465,1.2696,8.53,0.81,1
Biscayne,12/7/15,70.595,0.1272,11.87,0.72,1
Black Canyon of the Gunnison,11/30/15,18.095,0.0024,2.24,0.67,1
Black Canyon of the Gunnison,12/1/15,25.67,0,1.19,0.67,1
Black Canyon of the Gunnison,12/2/15,31.485,0,3.33,0.69,1
Black Canyon of the Gunnison,12/3/15,35.52,0,2.67,0.71,1
Black Canyon of the Gunnison,12/4/15,22.45,0,1.14,0.81,1
Black Canyon of the Gunnison,12/5/15,27.1,0,2.93,0.69,1
Black Canyon of the Gunnison,12/6/15,32.045,0,2.99,0.66,1
Black Canyon of the Gunnison,12/7/15,28.93,0,1.66,0.69,1
Bryce Canyon,11/30/15,25.465,0,6.14,0.52,2
Bryce Canyon,12/1/15,28.27,0,1.92,0.58,1
